image,label
train/images/161_JPG.rf.527ebe3956ff48e9aaeae9c43cc08a55.png,train/labels/161_JPG.rf.527ebe3956ff48e9aaeae9c43cc08a55.txt
train/images/Screenshot-2025-01-30-175813_png.rf.633f495d61e95f5357d7ab5bfc65fd2e.png,train/labels/Screenshot-2025-01-30-175813_png.rf.633f495d61e95f5357d7ab5bfc65fd2e.txt
train/images/7_JPG.rf.9d2f64d7c0667e69d9a185adb5fdfe84.png,train/labels/7_JPG.rf.9d2f64d7c0667e69d9a185adb5fdfe84.txt
train/images/27_JPG.rf.7403b86d2b48dbd973ac75f8c73d718c.png,train/labels/27_JPG.rf.7403b86d2b48dbd973ac75f8c73d718c.txt
train/images/Screenshot-2025-01-30-143441_png.rf.a1e0d4a12e66e1c6452c3787f6ffd475.png,train/labels/Screenshot-2025-01-30-143441_png.rf.a1e0d4a12e66e1c6452c3787f6ffd475.txt
train/images/259_JPG.rf.c4f5f84073867b2ed83f87af5eba0d31.png,train/labels/259_JPG.rf.c4f5f84073867b2ed83f87af5eba0d31.txt
train/images/Screenshot-2025-01-30-164235_png.rf.42340159f644be82c39eafdc75476cc5.png,train/labels/Screenshot-2025-01-30-164235_png.rf.42340159f644be82c39eafdc75476cc5.txt
train/images/95_JPG.rf.5a992d93c936587ab0a40ca730a0699a.png,train/labels/95_JPG.rf.5a992d93c936587ab0a40ca730a0699a.txt
train/images/2_JPG.rf.0dd64910bbf3f61193bf82e06e6758c5.png,train/labels/2_JPG.rf.0dd64910bbf3f61193bf82e06e6758c5.txt
train/images/70_JPG.rf.28baa846343cea4155629f0b11833594.png,train/labels/70_JPG.rf.28baa846343cea4155629f0b11833594.txt
train/images/244_JPG.rf.284916bc356cb156ce32132250862036.png,train/labels/244_JPG.rf.284916bc356cb156ce32132250862036.txt
train/images/135_JPG.rf.37c9a91eff9e6afbf9a08717bf8efad1.png,train/labels/135_JPG.rf.37c9a91eff9e6afbf9a08717bf8efad1.txt
train/images/257_JPG.rf.4fb0cb7fe44e6da0a738ddb083352928.png,train/labels/257_JPG.rf.4fb0cb7fe44e6da0a738ddb083352928.txt
train/images/Screenshot-2025-01-30-144152_png.rf.723343dd508f0339260f44cc81293331.png,train/labels/Screenshot-2025-01-30-144152_png.rf.723343dd508f0339260f44cc81293331.txt
train/images/105_JPG.rf.b715e38f8da925d0351d1f67f9101170.png,train/labels/105_JPG.rf.b715e38f8da925d0351d1f67f9101170.txt
train/images/14_JPG.rf.b21bdbae4d615fc345c14a4911db7969.png,train/labels/14_JPG.rf.b21bdbae4d615fc345c14a4911db7969.txt
train/images/271_JPG.rf.eba8cf980b6d40dbf66e29dbd6e862fd.png,train/labels/271_JPG.rf.eba8cf980b6d40dbf66e29dbd6e862fd.txt
train/images/216_JPG.rf.78f9272bbb2eb52aa6982003968fe6c6.png,train/labels/216_JPG.rf.78f9272bbb2eb52aa6982003968fe6c6.txt
train/images/233_JPG.rf.cd3f214402c040537ed582265b622d97.png,train/labels/233_JPG.rf.cd3f214402c040537ed582265b622d97.txt
train/images/258_JPG.rf.e00261ea7bf2fb9d607cccba09e3374f.png,train/labels/258_JPG.rf.e00261ea7bf2fb9d607cccba09e3374f.txt
train/images/Screenshot-2025-01-30-170623_png.rf.7a1418c4113147a5aab8b6e94480326b.png,train/labels/Screenshot-2025-01-30-170623_png.rf.7a1418c4113147a5aab8b6e94480326b.txt
train/images/241_JPG.rf.866b7eae0a982bbaab7cd85c6b2bc767.png,train/labels/241_JPG.rf.866b7eae0a982bbaab7cd85c6b2bc767.txt
train/images/290_JPG.rf.dadae3d66205d41ee1d7a2a81ec01f18.png,train/labels/290_JPG.rf.dadae3d66205d41ee1d7a2a81ec01f18.txt
train/images/100_JPG.rf.5d86d083b9996e45163b67fc575e12cb.png,train/labels/100_JPG.rf.5d86d083b9996e45163b67fc575e12cb.txt
train/images/160_JPG.rf.a623214898d789c030666cdfec4a4f8b.png,train/labels/160_JPG.rf.a623214898d789c030666cdfec4a4f8b.txt
train/images/45_JPG.rf.aec663fd1b40288f0c8dde17b737e131.png,train/labels/45_JPG.rf.aec663fd1b40288f0c8dde17b737e131.txt
train/images/Screenshot-2025-01-30-165846_png.rf.1b8c6b2c5e6b2a8e473a3475cbe1db56.png,train/labels/Screenshot-2025-01-30-165846_png.rf.1b8c6b2c5e6b2a8e473a3475cbe1db56.txt
train/images/293_JPG.rf.b40a2c2a03d04f5228553f5db3a19485.png,train/labels/293_JPG.rf.b40a2c2a03d04f5228553f5db3a19485.txt
train/images/169_JPG.rf.88583e783614953c8f01e6a4d4e3aa51.png,train/labels/169_JPG.rf.88583e783614953c8f01e6a4d4e3aa51.txt
train/images/224_JPG.rf.4449a78019bdeb2105b24cbcdfd4d6a1.png,train/labels/224_JPG.rf.4449a78019bdeb2105b24cbcdfd4d6a1.txt
train/images/Screenshot-2025-01-30-164223_png.rf.838586743cded3bc7c7ac28964f9d10e.png,train/labels/Screenshot-2025-01-30-164223_png.rf.838586743cded3bc7c7ac28964f9d10e.txt
train/images/Screenshot-2025-01-31-105119_png.rf.05daea036da938e2ff8ae8b84e0b129f.png,train/labels/Screenshot-2025-01-31-105119_png.rf.05daea036da938e2ff8ae8b84e0b129f.txt
train/images/Screenshot-2025-01-30-164602_png.rf.c812871d7830f868e01cc338c7ee5a76.png,train/labels/Screenshot-2025-01-30-164602_png.rf.c812871d7830f868e01cc338c7ee5a76.txt
train/images/Screenshot-2025-01-30-164406_png.rf.05cba090a36a75662857cb5f1cbe05c8.png,train/labels/Screenshot-2025-01-30-164406_png.rf.05cba090a36a75662857cb5f1cbe05c8.txt
train/images/294_JPG.rf.771292e89b5957f451ab72b0d851b779.png,train/labels/294_JPG.rf.771292e89b5957f451ab72b0d851b779.txt
train/images/68_JPG.rf.3041b76d3d479faadbbffad1a831c386.png,train/labels/68_JPG.rf.3041b76d3d479faadbbffad1a831c386.txt
train/images/107_JPG.rf.7e5c0b4b2f5a0a84548d5832ee688b29.png,train/labels/107_JPG.rf.7e5c0b4b2f5a0a84548d5832ee688b29.txt
train/images/Screenshot-2025-01-31-104655_png.rf.afdcfe79b09cde6be227135dc052e065.png,train/labels/Screenshot-2025-01-31-104655_png.rf.afdcfe79b09cde6be227135dc052e065.txt
train/images/31_JPG.rf.d2b9fd3f76cd4a37836b877c1b046f9e.png,train/labels/31_JPG.rf.d2b9fd3f76cd4a37836b877c1b046f9e.txt
train/images/232_JPG.rf.50a63649125c692515aba3ea65759efc.png,train/labels/232_JPG.rf.50a63649125c692515aba3ea65759efc.txt
train/images/282_JPG.rf.87b08f6339a03f35e5d505aa49914e0e.png,train/labels/282_JPG.rf.87b08f6339a03f35e5d505aa49914e0e.txt
train/images/153_JPG.rf.f04c8e5807fda6fcbcf7d8bf8cf5bc76.png,train/labels/153_JPG.rf.f04c8e5807fda6fcbcf7d8bf8cf5bc76.txt
train/images/277_JPG.rf.3162f7307d5a559540023c979c2eedc3.png,train/labels/277_JPG.rf.3162f7307d5a559540023c979c2eedc3.txt
train/images/30_JPG.rf.0a60ef42268d41201b68c90d4039b03a.png,train/labels/30_JPG.rf.0a60ef42268d41201b68c90d4039b03a.txt
train/images/Screenshot-2025-01-30-144337_png.rf.b3892137c091cd89cadbc3282279cdba.png,train/labels/Screenshot-2025-01-30-144337_png.rf.b3892137c091cd89cadbc3282279cdba.txt
train/images/35_JPG.rf.5f6a305643128e19eb7a6251bf0f3dcd.png,train/labels/35_JPG.rf.5f6a305643128e19eb7a6251bf0f3dcd.txt
train/images/Screenshot-2025-01-30-164434_png.rf.c8875328c1b594c1051b135e94248ff9.png,train/labels/Screenshot-2025-01-30-164434_png.rf.c8875328c1b594c1051b135e94248ff9.txt
train/images/8_JPG.rf.e09064f72dab83a19cd882a0a3997087.png,train/labels/8_JPG.rf.e09064f72dab83a19cd882a0a3997087.txt
train/images/285_JPG.rf.0d028e3f80107d24be87190976264307.png,train/labels/285_JPG.rf.0d028e3f80107d24be87190976264307.txt
train/images/193_JPG.rf.7c24f022d71ab92f21e51cffcec08c4b.png,train/labels/193_JPG.rf.7c24f022d71ab92f21e51cffcec08c4b.txt
train/images/256_JPG.rf.231b1122d003c1b11dac6c92fac3634b.png,train/labels/256_JPG.rf.231b1122d003c1b11dac6c92fac3634b.txt
train/images/Screenshot-2025-01-30-144131_png.rf.a05c5c93383ac9d3d196f14beb5d3fb4.png,train/labels/Screenshot-2025-01-30-144131_png.rf.a05c5c93383ac9d3d196f14beb5d3fb4.txt
train/images/110_JPG.rf.2c34d43700ac990ce83e598d9642bda5.png,train/labels/110_JPG.rf.2c34d43700ac990ce83e598d9642bda5.txt
train/images/49_JPG.rf.803959ba77ddf62ff11a85a7d86eb3fa.png,train/labels/49_JPG.rf.803959ba77ddf62ff11a85a7d86eb3fa.txt
train/images/15_JPG.rf.f770a624f68d91d13d79e302300885eb.png,train/labels/15_JPG.rf.f770a624f68d91d13d79e302300885eb.txt
train/images/Screenshot-2025-01-29-172446_png.rf.f57f30bdc6ed224ef3434310c1e16a1f.png,train/labels/Screenshot-2025-01-29-172446_png.rf.f57f30bdc6ed224ef3434310c1e16a1f.txt
train/images/72_JPG.rf.e4d951ea65dadb360ba012eb97600c9c.png,train/labels/72_JPG.rf.e4d951ea65dadb360ba012eb97600c9c.txt
train/images/Screenshot-2025-01-31-105029_png.rf.abb755be517a76862e8396ec470544ec.png,train/labels/Screenshot-2025-01-31-105029_png.rf.abb755be517a76862e8396ec470544ec.txt
train/images/Screenshot-2025-01-30-164042_png.rf.14a5ab7c2f543bba53acf1787ffc62c4.png,train/labels/Screenshot-2025-01-30-164042_png.rf.14a5ab7c2f543bba53acf1787ffc62c4.txt
train/images/Screenshot-2025-01-29-170744_png.rf.0b26c717403b30c1cb6da2964267f0bf.png,train/labels/Screenshot-2025-01-29-170744_png.rf.0b26c717403b30c1cb6da2964267f0bf.txt
train/images/208_JPG.rf.88b429d3abf6e0ae85672a32436fae85.png,train/labels/208_JPG.rf.88b429d3abf6e0ae85672a32436fae85.txt
train/images/Screenshot-2025-01-30-144447_png.rf.a4e2432ef655b30966fcdb46aace0dbc.png,train/labels/Screenshot-2025-01-30-144447_png.rf.a4e2432ef655b30966fcdb46aace0dbc.txt
train/images/Screenshot-2025-01-30-172137_png.rf.228370e24a6c1e0109a3bbada252b497.png,train/labels/Screenshot-2025-01-30-172137_png.rf.228370e24a6c1e0109a3bbada252b497.txt
train/images/48_JPG.rf.8d3aeb5d47705e96731377cbfededf11.png,train/labels/48_JPG.rf.8d3aeb5d47705e96731377cbfededf11.txt
train/images/60_JPG.rf.d905a21d8dcd8172148da44668c86872.png,train/labels/60_JPG.rf.d905a21d8dcd8172148da44668c86872.txt
train/images/218_JPG.rf.fea829ca26eb17af0ee96131cd8bb86e.png,train/labels/218_JPG.rf.fea829ca26eb17af0ee96131cd8bb86e.txt
train/images/Screenshot-2025-01-29-171937_png.rf.8ea1a50a066209d4ddabb8f074da6dd7.png,train/labels/Screenshot-2025-01-29-171937_png.rf.8ea1a50a066209d4ddabb8f074da6dd7.txt
train/images/73_JPG.rf.69310e85c254735c6e405af70c98ab7e.png,train/labels/73_JPG.rf.69310e85c254735c6e405af70c98ab7e.txt
train/images/276_JPG.rf.29fd071e1f3f40440534dd33763da514.png,train/labels/276_JPG.rf.29fd071e1f3f40440534dd33763da514.txt
train/images/85_JPG.rf.c6bf60ec08393288549b931863ed9631.png,train/labels/85_JPG.rf.c6bf60ec08393288549b931863ed9631.txt
train/images/112_JPG.rf.db867e92ee71097801b2167d1082a365.png,train/labels/112_JPG.rf.db867e92ee71097801b2167d1082a365.txt
