epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.257,1.48475,4.3749,1.77298,0.00376,0.99444,0.1638,0.09971,1.19901,4.33484,1.49645,0.000326797,0.000326797,0.000326797
2,835.03,1.19988,3.23553,1.53831,0.44992,0.52262,0.42379,0.26103,1.23333,3.36437,1.61906,0.000594778,0.000594778,0.000594778
3,1277.91,1.21421,2.78092,1.51726,0.47184,0.40561,0.3,0.18381,1.22301,3.66509,1.57885,0.000796758,0.000796758,0.000796758
4,1715.52,1.16735,2.52556,1.50252,0.32789,0.57777,0.50691,0.31597,1.2358,2.64084,1.61375,0.000703,0.000703,0.000703
5,2152.07,1.16562,2.24328,1.46459,0.45999,0.68145,0.60754,0.41809,1.06566,2.33384,1.4367,0.000604,0.000604,0.000604
6,2593.86,1.10521,1.98258,1.42948,0.52279,0.64741,0.653,0.43693,1.10267,2.11622,1.46321,0.000505,0.000505,0.000505
7,3041.61,1.06581,1.88398,1.38395,0.64308,0.70018,0.71418,0.50813,1.01439,1.81125,1.36133,0.000406,0.000406,0.000406
8,3485.7,1.02724,1.68987,1.36648,0.63758,0.70526,0.71459,0.51344,1.00843,1.80137,1.37175,0.000307,0.000307,0.000307
9,3930.49,1.0032,1.57477,1.32735,0.61953,0.78177,0.7442,0.51909,1.0277,1.61508,1.37673,0.000208,0.000208,0.000208
10,4370.19,0.96293,1.49987,1.32058,0.65943,0.80617,0.76687,0.55925,0.95369,1.52713,1.31984,0.000109,0.000109,0.000109
